Voter ID,Age,2020 marriage,Zip,Outcome,Swing Voter,Party_1,Party_2,Party_3,Sex_0,Sex_1,Ethnicity_2,Ethnicity_3
8899642,2,7,85210,0,Low_Chance,0,1,0,0,1,0,1
8899662,1,5,85201,0,Low_Chance,1,0,0,0,1,1,0
8899699,1,2,85202,0,Low_Chance,0,1,0,1,0,0,1
8899736,4,99,85203,0,Low_Chance,0,1,0,1,0,0,1
8899759,2,11,85213,0,Low_Chance,0,0,1,0,1,0,1
8899778,2,2,85204,0,Low_Chance,0,1,0,1,0,0,1
8899794,1,0,85213,1,High_Chance,0,0,1,0,1,0,1
8899865,4,39,85203,0,Low_Chance,0,1,0,0,1,0,1
8899942,2,2,85201,1,High_Chance,0,0,1,0,1,0,1
8899974,3,50,85204,0,Low_Chance,1,0,0,1,0,1,0
8668060,3,41,85234,0,Low_Chance,0,0,1,0,1,0,1
8668229,6,28,85201,0,Low_Chance,0,1,0,0,1,0,1
8668248,6,91,85213,0,Low_Chance,0,1,0,0,1,0,1
8669226,6,46,85210,1,High_Chance,0,0,1,0,1,0,1
8669833,3,94,85203,1,Low_Chance,0,0,1,0,1,0,1
8669931,5,43,85203,0,Low_Chance,0,1,0,1,0,0,1
8670739,4,49,85202,1,Low_Chance,1,0,0,1,0,0,1
8674082,4,45,85204,0,Low_Chance,1,0,0,0,1,0,1
8719358,2,20,85204,0,Low_Chance,0,0,1,1,0,0,1
8721177,3,39,85204,0,Low_Chance,0,1,0,1,0,0,1
8773016,2,2,85201,0,Low_Chance,1,0,0,1,0,1,0
8830033,2,3,85202,0,Low_Chance,1,0,0,1,0,0,1
8830080,2,15,85210,0,High_Chance,0,0,1,1,0,0,1
8830137,1,1,85202,0,High_Chance,0,0,1,1,0,0,1
8830171,4,89,85224,1,Low_Chance,0,0,1,0,1,0,1
8830351,2,13,85202,0,Low_Chance,0,0,1,1,0,0,1
8830559,6,91,85202,0,Low_Chance,0,1,0,0,1,0,1
8832842,1,1,85210,0,Low_Chance,1,0,0,1,0,0,1
8833142,2,7,85210,0,Low_Chance,1,0,0,1,0,0,1
8833344,2,3,85202,0,Low_Chance,1,0,0,1,0,0,1
8833909,2,1,85202,0,High_Chance,0,0,1,1,0,0,1
8834388,5,50,85210,0,Low_Chance,1,0,0,1,0,0,1
8836414,2,1,85202,0,Low_Chance,0,0,1,0,1,0,1
8881311,2,4,85202,0,Low_Chance,0,1,0,1,0,0,1
8882380,2,17,85210,0,Low_Chance,0,0,1,0,1,0,1
8882775,3,90,85213,0,Low_Chance,0,0,1,1,0,0,1
8884352,1,2,85202,0,Low_Chance,1,0,0,1,0,0,1
